ID_REF  VALUE   PLIER
1553079_at      0.52453274      1.1343553
1553080_at      0.57997876      0.9706592
1553081_at      0.92566127      1.1373383
1553082_at      0.55799156      0.9123086
1553083_at      0.41464275      1.2376884
1553084_at      0.5959394       1.5625288
1553086_at      0.37239608      0.7428937
1553087_at      0.8847344       0.9607828
1553088_a_at    1.0028765       1.0208911
1553089_a_at    0.40460405      0.6991416
1553093_a_at    0.45477125      1.0160707
1553094_at      0.78847355      0.6703796
1553096_s_at    1.6947805       1.2334831
1553099_at      1.5443124       1.3186829
1553101_a_at    0.54521286      0.537849
1553102_a_at    0.905357        0.98968214
1553103_at      0.9629153       0.92004555
1553105_s_at    0.4505045       0.6179507
1553106_at      1.2573267       1.2965447
1553107_s_at    2.0206153       1.7320447
1553108_at      0.7521507       0.45112967
1553111_a_at    1.2205771       1.0398396
1553112_s_at    0.52101135      0.5455703
1553113_s_at    0.65639985      0.55938476
1553114_a_at    1.0355351       1.0307186
1553115_at      0.6191884       1.4034331
1553117_a_at    0.5584877       0.6822036
1553118_at      1.1182992       1.0237511
1553120_at      0.554113        1.3871554
1553122_s_at    1.6977528       1.5515906
1553123_at      1.2280154       1.1765864
1553125_x_at    1.0843765       1.2573309
1553126_a_at    1.8704296       1.563981
1553127_a_at    1.2135782       0.98086524
1553129_at      0.8245015       1.2257539
1553130_at      1.007035        0.9053697
1553131_a_at    0.4530597       1.1322931
1553132_a_at    0.8424111       1.0752021
1553133_at      0.28524977      0.3003749
1553134_s_at    0.6275321       0.49120277
1553136_at      0.90824425      0.9935984
1553137_s_at    0.7496256       1.0353197
1553138_a_at    0.92940944      1.2749352
1553139_s_at    0.8382211       0.76631874
1553140_at      1.4855412       1.6994046
1553141_at      0.5294678       0.61176234
1553142_at      0.8290148       0.6867927
1553145_at      1.4709221       1.4000622
1553146_at      0.6222309       1.5462794
1553147_at      1.3997377       1.301208
1553148_a_at    0.5075002       0.6367402
1553150_at      0.569728        0.7561557
1553151_at      0.40751305      0.40158585
1553153_at      0.86917984      0.7522809
1553155_x_at    0.887407        0.78240806
1553156_at      1.1095773       0.96001595
1553157_at      0.48863828      0.6254544
1553158_at      0.58327144      0.4848711
1553159_at      1.3230764       1.8262136
1553162_x_at    1.1772308       0.96019775
1553163_at      0.78502357      0.90683424
1553165_at      1.5182135       1.5769563
1553166_at      0.6992499       0.87848556
1553167_a_at    0.8859561       0.9504517
1553168_at      0.34223545      1.1564848
1553169_at      0.3404336       0.6295352
1553171_x_at    0.34861717      0.80413824
1553172_at      0.8996057       1.0396603
1553174_at      0.35652658      0.86652905
1553175_s_at    0.5507802       0.8177818
1553176_at      0.5174609       1.0996416
1553177_at      0.4070524       0.17454681
1553178_a_at    0.5943686       0.7122373
1553179_at      0.8553198       0.5941667
1553180_at      0.91750705      0.19591545
1553181_at      0.39682326      1.0845988
1553183_at      0.48314226      0.26542744
1553185_at      1.7215781       1.6147228
1553186_x_at    1.8341618       1.6515481
1553188_s_at    1.1926235       1.4202802
1553190_s_at    1.2801096       1.0262529
1553191_at      6.590344        3.2078934
1553192_at      0.856519        0.92096514
1553193_at      0.903754        0.90989137
1553194_at      0.34180856      0.43894124
1553196_a_at    0.5577812       1.6653789
1553197_at      0.5811828       0.94228834
1553199_at      1.0118742       0.2132818
1553202_at      1.945676        1.1831661
1553204_at      0.6410111       0.97235745
1553205_at      1.0021703       1.1972482
1553207_at      0.9975522       1.143261
1553208_s_at    0.78476614      1.0669085
1553209_at      0.5788864       0.91631323
1553211_at      1.2596419       1.1993258
1553212_at      0.9951837       0.86155874
1553213_a_at    0.31737655      0.7064998
1553214_a_at    2.0873952       3.0644197
1553215_s_at    2.7321906       1.8753763
1553216_at      0.5771681       0.65381575
1553217_s_at    0.7297737       0.6753973
1553218_a_at    0.7716228       0.79647166
1553219_a_at    0.385977        0.5020523
1553220_at      0.6291906       0.7619066
1553221_at      0.5789436       0.7602212
1553222_at      0.9027634       0.98487157
1553224_at      0.85039175      1.2312746
1553225_s_at    0.7186403       0.47157452
1553226_at      0.5384597       1.1559281
1553227_s_at    0.74248636      0.7943723
1553228_at      0.98957044      0.84976166
1553229_at      0.6681908       0.9323938
1553232_at      0.90307033      0.79075634
1553234_at      0.80925584      1.3577392
1553235_at      0.43918353      0.7422906
1553237_x_at    0.78476596      0.9789847
1553238_a_at    0.9028132       0.75555307
1553239_at      0.91317135      0.92490214
1553241_at      1.1162984       0.79170245
1553243_at      1.05391 1.2155484
1553244_at      1.0215788       1.229748
1553246_a_at    0.53542286      0.96582305
1553247_a_at    1.0238458       1.1787717
1553248_at      1.3618804       0.88567233
1553249_at      0.718222        0.89844835
1553252_a_at    1.9082407       1.4331324
1553253_at      1.2478051       0.7567139
1553254_at      0.4663738       0.6605564
1553255_at      1.0744259       1.2191449
1553257_at      0.5163315       0.7232204
1553258_at      0.520494        1.1610488
1553260_s_at    0.6694516       1.3022938
1553261_x_at    1.0375428       0.6205691
1553262_a_at    0.9758817       0.85257447
1553263_at      0.4792411       0.9778103
1553264_a_at    0.12628508      0.1762982
1553265_at      0.77010983      0.58451325
1553266_at      0.96816456      0.34544942
1553267_a_at    0.82512355      0.8938116
1553268_at      0.6397555       0.6809883
1553269_at      0.80145925      0.6204972
1553271_at      0.82845783      0.94031787
1553272_at      0.96598876      0.93376213
1553274_a_at    1.3747256       1.3805473
1553275_s_at    1.1506672       1.0726831
1553276_at      0.48268685      0.6402886
1553277_at      0.75829595      0.17161894
1553279_at      0.95381427      0.9962595
1553280_at      1.0837781       1.1656486
1553281_at      0.4184119       1.3325742
1553282_at      0.4104429       0.28919318
1553284_s_at    1.0651777       0.9533509
1553285_s_at    0.8360846       1.525554
1553286_at      0.811637        0.80234003
1553288_a_at    0.5971217       0.7466551
1553292_s_at    0.68303394      0.7419882
1553293_at      0.37969795      0.9106591
1553295_at      0.60260516      1.3305186
1553296_at      0.4391007       1.1048496
